"id","alert_id","incident_id","model_name","description","status","severity","score","created_at","updated_at","cust_name","date_fetch"
73,WB-21683-20251112-00010,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 14:49:45.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
74,WB-21683-20251112-00009,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 13:04:32.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
75,WB-21683-20251112-00008,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 12:46:22.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
76,WB-21683-20251112-00007,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 12:26:23.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
77,WB-21683-20251112-00005,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 12:25:48.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
78,WB-21683-20251112-00006,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 12:25:46.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
79,WB-21683-20251112-00004,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 12:25:14.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
80,WB-21683-20251112-00003,IC-21683-20251107-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-11-12 12:23:24.000,2025-11-12 17:45:43.000,Felcra,2025-11-13 09:44:49.364
81,WB-21541-20251107-00008,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 19:07:02.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
82,WB-21541-20251107-00006,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 19:05:10.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
83,WB-21541-20251107-00007,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 19:05:08.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
84,WB-21541-20251107-00005,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 17:13:40.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
85,WB-21541-20251107-00004,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 17:13:07.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
86,WB-21541-20251107-00003,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 17:06:04.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
87,WB-21541-20251107-00002,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 17:05:37.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
88,WB-21541-20251107-00001,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 17:04:53.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
89,WB-21541-20251107-00000,IC-21541-20251107-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-11-07 17:03:16.000,2025-11-07 19:07:13.000,YPPB,2025-11-13 09:46:39.677
94,WB-21683-20251216-00003,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-16 14:14:37.000,2025-12-16 14:14:37.000,Felcra,2025-12-16 22:16:01.433
95,WB-21683-20251216-00002,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-16 14:11:33.000,2025-12-16 14:11:33.000,Felcra,2025-12-16 22:16:01.433
